Model,Block,$\rho_M$,$\rho_Q$,$\Delta_Q$
HAR_Q_IV,IV extension,0.980672,0.932787,0.06721299999999997
GHAR_Q_IV,IV extension,0.981155,0.933495,0.06650500000000004
GNNHAR2L_Q_IV,IV extension,0.982333,0.933495,0.06650500000000004
GNNHAR5L_Q_IV,depth extension,0.980863,0.934228,0.06577200000000005
GNNHAR1L_Q_IV,IV extension,0.981388,0.934858,0.06514200000000003
GNNHAR4L_Q_IV,depth extension,0.985826,0.936106,0.063894
GNNHAR3L_Q_IV,IV extension,0.98146,0.940106,0.059894
GHAR_Q,strict core,1.002762,0.976368,0.023631999999999986
GNNHAR5L_Q,depth extension,1.003253,0.976786,0.023213999999999957
GNNHAR3L_Q,strict core,1.003032,0.977386,0.022614000000000023
GHAR_M_IV,IV extension,0.964891,0.977778,0.022221999999999964
GNNHAR4L_Q,depth extension,1.002622,0.978495,0.021504999999999996
HAR_M_IV,IV extension,0.964803,0.979188,0.020812000000000053
GNNHAR2L_Q,strict core,1.00351,0.979452,0.02054800000000001
HAR_Q,strict core,1.005618,0.980136,0.019863999999999993
GNNHAR1L_Q,strict core,1.003929,0.980192,0.019808000000000048
GNNHAR1L_M_IV,IV extension,0.971581,0.986787,0.01321300000000003
GNNHAR3L_M_IV,IV extension,0.967609,0.990027,0.00997300000000001
GHAR_M,strict core,0.997465,0.992531,0.007468999999999948
GNNHAR5L_M_IV,depth extension,0.979556,0.993644,0.006356000000000028
GNNHAR4L_M_IV,depth extension,0.978923,0.99553,0.004469999999999974
GNNHAR1L_M,strict core,0.999951,0.996787,0.0032130000000000214
GNNHAR2L_M,strict core,1.000086,0.999458,0.0005420000000000424
GNNHAR3L_M,strict core,1.00113,0.999559,0.0004410000000000247
HAR_M,strict core,1.0,1.0,0.0
GNNHAR4L_M,depth extension,1.004042,1.003234,-0.003233999999999959
GNNHAR5L_M,depth extension,1.003038,1.010496,-0.01049600000000006
GNNHAR2L_M_IV,IV extension,0.988759,1.012166,-0.012165999999999899
