Model,Block,Est.,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\),\(\rho_Q^{IV}\)
GHAR,strict core,MSE,0.9984966733923436,0.9992796699054108,0.0007203300945891611,1.0270681168362972
HAR,strict core,MSE,1.0,1.0,0.0,1.027808478214629
GNNHAR1L,strict core,MSE,1.008466730386571,1.0331056681664343,-0.03310566816643434,1.0618347646330504
GNNHAR2L,strict core,MSE,1.102151037711337,1.137357283050973,-0.13735728305097306,1.1689854582789458
GNNHAR3L,strict core,MSE,1.2913366515123377,1.397249654874688,-0.397249654874688,1.4361050414626688
GHAR+IV,IV extension,MSE,0.9635439866355014,0.9727422540856822,0.027257745914317844,0.999792735866873
HAR+IV,IV extension,MSE,0.9638788803780034,0.9729439104618652,0.027056089538134764,1.0
GNNHAR3L-IV,IV extension,MSE,1.0820366142749407,1.1143726244822556,-0.1143726244822556,1.1453616313331496
GNNHAR1L-IV,IV extension,MSE,1.0653972940965688,1.1147092441761302,-0.11470924417613015,1.1457076119084475
GNNHAR2L-IV,IV extension,MSE,1.176019390896697,1.2685773401771827,-0.2685773401771827,1.303854545505072
GHAR+fakeIV,diagnostic placebo,MSE,0.9903509004386876,0.9946735678961248,0.005326432103875178,1.0223339261396314
HAR+fakeIV,diagnostic placebo,MSE,0.9935083191849876,0.9959595497587672,0.004040450241232785,1.0236556692008856
GNNHAR1L-IV+fakeIV,diagnostic placebo,MSE,1.3553020953769357,1.4775141874836506,-0.4775141874836506,1.5186016085780951
GHAR+IV-random,diagnostic random graph,MSE,0.9638499519778,0.9732779390402914,0.026722060959708638,1.0003433174048724
GHAR_RANDOM,diagnostic random graph,MSE,0.9982127738735582,0.9977520383629288,0.002247961637071194,1.025498004185346
GNNHAR3L-IV-random,diagnostic random graph,MSE,1.2192242733349514,1.3049374493465091,-0.3049374493465091,1.3412257739781157
