Model,Class,$\rho_M$,$\rho_Q$,$\Delta_Q$,$\rho_Q^{IV}$
GHAR+IV,GHAR+IV,0.9635439866355014,0.9727422540856822,0.027257745914317844,0.999792735866873
HAR+IV,HAR+IV,0.9638788803780034,0.9729439104618652,0.027056089538134764,1.0
GHAR,GHAR,0.9984966733923436,0.9992796699054108,0.0007203300945891611,1.0270681168362972
HAR,HAR,1.0,1.0,0.0,1.027808478214629
GNNHAR1L,GNNHAR,1.008466730386571,1.0331056681664343,-0.03310566816643434,1.0618347646330504
GNNHAR3L-IV,GNNHAR+IV,1.0820366142749407,1.1143726244822556,-0.1143726244822556,1.1453616313331496
GNNHAR1L-IV,GNNHAR+IV,1.0653972940965688,1.1147092441761302,-0.11470924417613015,1.1457076119084475
GNNHAR2L,GNNHAR,1.102151037711337,1.137357283050973,-0.13735728305097306,1.1689854582789458
GNNHAR2L-IV,GNNHAR+IV,1.176019390896697,1.2685773401771827,-0.2685773401771827,1.303854545505072
GNNHAR3L,GNNHAR,1.2913366515123377,1.397249654874688,-0.397249654874688,1.4361050414626688
